[header]
width=100
height=100
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=87,97
music=music/forest_theme.ogg
tileset=tilesetdefs/tileset_grassland.txt
title=Black Oak Farm

[tilesets]
tileset=../../../tiled/grassland/tiled_collision.png,64,32,0,0
tileset=../../../tiled/grassland/grassland.png,64,128,0,0
tileset=../../../tiled/grassland/grassland_water.png,64,64,0,32
tileset=../../../tiled/grassland/grassland_structures.png,64,256,0,0
tileset=../../../tiled/grassland/grassland_trees.png,128,256,-32,0
tileset=../../../tiled/grassland/set_rules.png,64,32,0,0
tileset=../../../tiled/grassland/tiled_grassland_2x2.png,128,64,0,16
tileset=../../../tiled/grassland/rottentower.png,358,358,0,48

[layer]
type=background
data=
0,0,0,0,0,0,0,0,0,0,0,19,16,144,178,179,176,177,178,179,176,177,178,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,23,20,148,182,183,180,181,182,183,180,181,182,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,27,24,159,163,187,184,185,186,187,184,185,186,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,17,18,19,16,17,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,31,28,29,148,191,188,189,190,191,188,189,190,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,20,0,0,0,0,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,16,17,144,179,176,177,178,179,176,177,178,146,25,26,27,24,25,26,0,0,0,0,27,24,25,0,0,0,0,0,0,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,20,21,148,183,180,181,182,183,180,181,182,150,29,30,31,28,29,30,31,28,29,30,31,28,29,0,0,0,0,0,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,24,25,144,187,184,185,186,187,184,185,186,146,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,47,35,47,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,28,29,155,163,188,189,190,191,188,189,166,154,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,39,47,20,21,22,23,20,21,22,23,20,42,32,36,42,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,159,163,177,178,179,176,177,150,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,45,43,36,27,24,25,26,27,24,25,26,27,43,46,32,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,21,22,23,20,21,22,23,0,0,0,0,0,21,22,23,155,167,182,183,180,181,146,28,29,30,31,28,29,30,31,28,0,0,0,238,29,30,31,28,29,30,42,39,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,156,149,149,145,145,157,30,31,28,29,30,41,28,29,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,25,26,27,24,25,26,27,24,0,0,0,0,0,26,27,24,148,186,187,184,185,161,153,17,18,19,16,17,18,19,16,0,0,0,237,17,18,19,16,17,44,35,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,156,149,149,164,184,185,186,187,161,149,153,16,17,18,33,32,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,29,30,31,28,29,30,31,28,29,0,0,0,0,0,31,28,144,190,191,188,189,190,165,153,22,23,20,21,22,23,20,0,0,0,236,21,22,23,20,21,34,23,20,21,22,23,20,21,152,149,149,149,145,145,153,21,22,23,20,144,189,190,191,188,189,190,191,188,189,161,145,153,22,23,39,38,22,23,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,17,18,19,16,17,18,19,16,17,18,0,0,0,0,19,16,144,178,179,176,177,178,179,146,26,27,24,25,26,27,24,232,233,234,235,25,26,27,24,44,26,27,24,25,26,27,24,152,160,178,179,176,177,178,165,149,149,145,145,160,177,178,179,176,177,178,179,176,177,178,179,161,157,27,24,37,37,27,24,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,21,22,23,20,21,22,23,20,21,22,23,0,0,0,23,20,148,182,183,180,181,182,183,165,153,31,28,29,30,31,28,29,30,31,28,29,30,31,32,41,30,31,28,29,30,31,152,160,181,182,183,180,181,182,183,180,181,182,183,180,181,182,183,180,181,182,183,180,181,182,183,180,165,153,28,29,30,31,28,29,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,26,27,24,25,26,27,24,0,0,27,24,155,167,187,184,185,186,187,184,165,157,16,17,18,19,16,17,18,19,16,17,18,43,39,17,18,19,16,17,18,156,164,184,185,186,187,184,185,186,187,184,185,186,187,184,185,186,187,184,185,186,187,184,185,186,187,184,185,150,16,17,18,19,16,17,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
