[header]
width=100
height=100
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=36,8
music=music/battle_theme.ogg
parallax_layers=maps/parallax/fog.txt
tileset=tilesetdefs/tileset_dungeon.txt
title=Underworld Stronghold: Barracks

[tilesets]
tileset=../../../tiled/dungeon/tiled_collision.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon.png,64,128,0,0
tileset=../../../tiled/dungeon/set_rules.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon_2x2.png,128,64,0,16
tileset=../../../tiled/dungeon/door_left.png,64,128,-16,-8
tileset=../../../tiled/dungeon/door_right.png,64,128,16,-8
tileset=../../../tiled/dungeon/stairs.png,256,256,0,48

[layer]
type=background
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,44,46,40,45,37,19,17,45,36,16,18,39,40,47,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,51,51,51,51,51,51,51,43,19,46,47,43,16,19,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,51,51,51,51,51,51,46,38,45,37,17,38,42,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,34,33,33,33,34,34,42,40,18,18,37,42,18,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,43,39,41,45,16,45,16,32,34,34,32,40,46,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,37,39,19,18,44,40,36,34,0,0,32,47,17,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,46,42,41,46,19,42,38,43,32,264,0,32,36,37,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,39,44,16,36,42,43,36,32,35,32,33,45,43,43,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,44,47,37,18,44,42,18,46,18,36,39,44,17,18,39,18,40,0,0,0,0,0,0,0,0,0,0,0,35,34,32,34,32,35,37,40,17,16,16,45,43,39,19,42,47,0,0,0,0,0,0,0,17,38,39,38,42,16,42,17,16,43,36,46,19,44,39,16,44,36,45,44,42,36,19,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,47,19,47,37,37,44,38,36,46,37,40,46,17,47,46,46,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,34,43,42,37,47,45,39,44,19,42,38,17,0,0,0,0,0,0,0,18,40,37,18,46,17,19,36,36,46,45,45,47,41,17,44,37,47,36,42,46,45,16,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,42,37,38,19,17,46,16,38,41,38,39,17,19,16,46,17,43,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,33,40,36,44,36,40,16,46,44,37,16,43,0,0,0,0,0,0,0,41,38,19,40,46,41,38,46,42,44,45,19,37,17,37,38,42,36,18,17,36,16,42,41,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,39,16,44,16,47,17,38,16,44,46,18,47,19,39,47,37,45,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,36,45,47,42,44,36,37,46,45,16,36,0,0,0,0,0,0,0,36,16,39,44,43,43,38,47,43,43,46,16,36,42,37,18,19,41,17,36,37,43,41,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,46,47,42,36,47,30,23,23,23,23,23,23,31,47,36,39,16,0,0,0,0,0,0,0,0,0,0,0,35,286,0,0,0,35,42,16,41,37,46,37,19,18,17,19,37,0,0,0,0,0,0,0,47,19,19,44,17,41,38,17,46,45,18,40,44,38,39,47,30,23,23,23,23,31,16,38,46,41,38,37,17,37,44,17,46,17,44,45,39,0,0,0,0,0,0,
0,0,0,0,0,43,43,43,44,30,26,48,50,50,50,50,50,27,31,46,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,16,43,47,0,0,0,0,0,0,0,0,0,0,0,17,38,39,17,18,0,0,0,0,0,0,0,19,37,44,37,22,48,50,50,50,20,16,46,16,43,46,16,45,33,34,33,33,34,35,35,33,0,0,0,0,0,0,
0,0,0,0,0,46,42,45,18,22,48,0,0,0,0,0,0,50,20,17,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,40,38,43,0,0,0,0,0,0,0,0,0,0,0,37,41,38,36,39,0,0,0,0,0,0,0,38,40,17,36,22,49,0,0,0,20,16,18,16,46,17,44,38,35,32,35,32,33,35,35,32,0,0,0,0,0,0,
0,0,0,0,0,36,18,41,45,22,49,0,0,0,0,0,0,0,20,40,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,17,18,19,46,0,0,0,0,0,0,0,0,0,0,0,40,38,38,17,17,0,0,0,0,0,0,0,43,17,44,45,22,49,0,0,0,20,44,43,39,17,45,19,40,32,33,38,41,38,47,32,34,0,0,0,0,0,0,
0,0,0,0,0,19,45,37,30,26,49,0,0,0,0,0,0,0,27,23,23,31,19,46,41,37,44,19,44,39,37,44,42,19,0,0,0,0,0,0,0,41,46,46,19,42,0,0,0,0,0,0,0,0,0,0,0,18,39,40,36,39,0,0,0,17,42,43,44,40,44,42,39,22,49,0,0,0,20,45,46,46,43,37,43,37,32,32,43,38,37,38,34,34,0,0,0,0,0,0,
0,0,0,0,0,39,46,38,22,48,0,0,0,0,0,0,0,0,50,50,50,27,31,36,19,38,38,43,37,16,47,45,38,45,0,0,0,0,0,0,0,40,45,47,39,45,0,0,0,0,0,0,0,0,0,0,0,45,44,18,43,43,0,0,0,18,40,38,47,16,18,46,17,22,49,0,0,0,20,39,19,40,0,0,0,42,33,32,39,18,40,36,32,33,0,0,0,0,0,0,
0,0,0,0,0,45,42,40,22,49,0,0,0,0,0,0,0,0,0,0,0,50,27,31,36,42,36,19,38,36,18,38,43,18,0,0,0,0,0,0,0,39,45,44,41,43,0,0,0,0,0,0,0,0,0,0,0,45,16,39,44,44,0,0,0,16,18,43,39,43,38,19,41,22,49,0,0,0,20,46,41,39,0,0,0,47,33,34,43,38,45,19,35,32,0,0,0,0,0,0,
