[header]
width=100
height=100
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=35,48
music=music/dungeon_theme.ogg
tileset=tilesetdefs/tileset_dungeon.txt
title=Wizard's Tower: Entrance Hall

[tilesets]
tileset=../../../tiled/dungeon/tiled_collision.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon.png,64,128,0,0
tileset=../../../tiled/dungeon/set_rules.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon_2x2.png,128,64,0,16
tileset=../../../tiled/dungeon/door_left.png,64,128,-16,-8
tileset=../../../tiled/dungeon/door_right.png,64,128,16,-8
tileset=../../../tiled/dungeon/stairs.png,256,256,0,48

[layer]
type=background
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,44,36,16,16,45,44,17,0,0,0,0,0,0,0,37,42,37,42,17,36,40,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,17,38,41,39,42,17,37,0,0,0,0,0,0,0,41,47,17,42,41,39,40,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,45,17,47,41,17,36,42,0,0,0,0,0,0,0,17,47,42,44,42,19,46,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,45,44,38,18,36,46,42,0,0,0,0,0,0,0,18,46,38,43,47,16,42,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,17,38,47,46,19,45,44,39,43,44,37,18,44,40,16,0,0,0,0,0,0,0,39,36,44,43,37,41,17,16,17,39,38,17,36,37,42,39,44,18,37,43,16,40,19,38,16,37,46,18,19,36,40,44,41,41,18,39,37,19,47,45,39,36,39,43,19,19,18,45,16,42,47,45,41,17,43,40,38,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,45,40,38,42,38,38,16,46,19,47,40,37,17,16,41,0,0,0,0,0,0,0,16,45,19,47,39,16,39,16,42,18,17,44,36,19,38,17,47,19,46,43,37,44,36,16,17,16,38,46,39,36,43,39,41,43,41,45,47,36,37,46,40,45,45,36,47,44,47,40,44,17,41,47,37,44,16,42,37,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,44,17,45,18,43,17,16,19,45,38,44,45,19,17,44,44,41,0,0,0,0,0,0,0,16,38,44,38,36,43,39,46,44,32,35,34,33,35,33,35,34,47,42,45,45,44,45,19,39,32,34,34,34,32,32,32,32,18,19,39,38,18,43,40,37,42,44,41,42,19,47,38,39,44,16,43,40,16,19,46,46,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,42,18,19,42,39,44,38,18,36,40,18,43,36,38,41,37,39,0,0,0,0,0,0,0,19,16,17,46,17,17,17,43,37,33,35,33,32,32,33,32,33,40,38,47,37,18,43,19,19,32,32,35,33,34,32,32,32,17,37,42,41,44,43,39,17,39,46,16,39,19,47,37,37,17,42,17,45,19,41,42,17,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,18,39,36,19,18,18,30,23,23,23,23,31,44,45,19,0,0,0,0,0,0,0,38,18,43,19,36,39,36,40,19,36,43,44,45,38,43,38,45,16,37,46,40,16,17,16,37,36,19,39,16,16,42,38,19,38,42,40,46,46,16,18,19,44,46,16,30,23,23,23,23,23,23,23,23,31,18,41,39,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,47,19,36,42,36,19,22,48,50,50,50,20,38,38,45,0,0,0,0,0,0,0,42,39,41,19,39,0,0,0,18,44,40,18,38,36,38,44,41,0,0,0,0,0,0,0,46,47,19,45,39,37,38,41,46,0,0,0,0,0,0,0,39,41,46,44,22,48,50,50,50,50,50,50,50,20,37,16,36,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,51,39,39,43,36,36,22,49,0,0,0,20,16,19,19,0,0,0,0,0,0,0,17,17,36,40,19,0,0,0,40,43,17,43,38,17,40,18,37,0,0,0,0,0,0,0,45,16,44,37,39,45,17,40,36,0,0,0,0,0,0,0,45,44,43,47,22,49,0,0,0,0,0,0,0,20,44,19,40,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,51,41,36,43,41,43,22,49,0,0,0,20,42,19,46,0,0,0,0,0,0,0,17,37,45,36,16,0,0,0,36,41,42,45,17,19,36,41,17,0,0,0,0,0,0,0,37,45,41,43,19,42,43,36,38,0,0,0,0,0,0,0,44,42,42,39,22,49,0,0,0,0,0,0,0,20,44,19,17,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,47,47,19,42,41,43,46,39,16,37,47,46,22,49,0,0,0,20,17,40,42,0,0,0,0,0,0,0,43,39,37,38,19,0,0,0,36,45,40,17,42,41,36,46,46,0,0,0,0,0,0,0,45,47,45,45,18,40,38,45,39,0,0,0,0,0,0,0,46,46,44,46,22,49,0,0,0,0,0,0,0,20,44,46,38,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,38,42,46,44,16,17,16,46,42,18,41,36,29,21,21,21,21,28,38,39,18,0,0,0,0,0,0,0,36,38,16,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,38,47,29,21,21,21,25,49,0,0,0,20,39,36,44,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,37,42,39,42,38,36,38,46,45,45,43,19,37,42,19,17,16,36,17,43,42,0,0,0,0,0,0,0,44,37,44,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,47,37,18,42,16,16,18,22,49,0,0,0,20,19,41,44,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,16,43,37,19,43,37,38,43,37,17,45,36,44,37,47,40,44,39,46,39,47,0,0,0,0,0,0,0,17,42,19,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,42,40,36,46,37,17,22,49,0,0,0,20,45,45,38,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,47,18,17,43,37,17,36,42,30,23,23,23,23,31,45,44,19,45,41,40,40,0,0,0,0,0,0,0,44,16,18,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,38,47,18,42,44,44,22,49,0,0,0,20,40,41,19,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,39,44,36,18,17,38,38,44,22,48,50,50,50,20,19,19,16,16,44,40,40,0,0,0,0,0,0,0,40,41,43,40,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,18,44,29,51,51,51,51,28,44,44,37,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,40,46,43,16,44,36,18,16,22,49,0,0,0,20,36,19,44,37,39,41,42,0,0,0,0,0,0,0,36,42,47,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,18,42,17,51,51,51,51,19,37,18,43,0,0,0,0,0,0,
